time,wx,wy,wz
2.511,1.63,-0.65,1.92
2.517,1.27,-0.73,1.95
2.521,0.89,-0.90,1.94
2.526,0.51,-1.00,1.91
2.532,0.19,-0.99,1.85
2.536,0.01,-0.78,1.80
2.541,-0.01,-0.40,1.78
2.546,0.16,-0.10,1.77
2.552,0.48,0.01,1.79
2.556,0.89,0.07,1.79
2.561,1.31,0.15,1.78
2.571,1.65,0.22,1.76
2.572,1.80,0.12,1.74
2.580,1.75,-0.19,1.71
2.581,1.56,-0.60,1.67
2.595,1.28,-0.97,1.61
2.596,1.01,-1.23,1.57
2.608,0.81,-1.35,1.56
2.609,0.67,-1.25,1.57
2.609,0.57,-1.02,1.66
2.611,0.47,-0.83,1.83
2.619,0.37,-0.73,2.08
2.621,0.30,-0.66,2.33
2.626,0.27,-0.51,2.47
2.632,0.28,-0.31,2.45
2.636,0.32,-0.12,2.29
2.640,0.36,0.03,2.01
2.646,0.33,0.08,1.66
2.651,0.21,0.12,1.26
2.656,0.03,0.26,0.79
2.661,-0.23,0.41,0.37
2.671,-0.53,0.40,0.17
2.672,-0.72,0.21,0.15
2.677,-0.81,0.16,0.14
2.691,-0.90,0.32,0.16
2.691,-1.04,0.56,0.17
2.691,-1.17,0.74,0.13
2.696,-1.36,1.02,0.06
2.701,-1.67,1.37,-0.07
2.705,-2.12,1.67,-0.25
2.710,-2.68,1.83,-0.45
2.715,-3.16,1.67,-0.61
2.720,-3.49,1.21,-0.69
2.725,-3.67,0.71,-0.66
2.732,-3.61,0.48,-0.53
2.736,-2.95,0.62,-0.26
2.740,-1.88,0.82,0.06
2.745,-0.88,0.73,0.27
2.752,-0.15,0.30,0.39
2.756,0.34,-0.27,0.45
2.761,0.65,-0.68,0.41
2.771,0.79,-0.90,0.34
2.772,0.76,-1.15,0.36
2.790,0.66,-1.28,0.41
2.791,0.55,-1.23,0.42
2.791,0.44,-1.14,0.37
2.791,0.35,-1.17,0.28
2.796,0.31,-1.25,0.17
2.801,0.33,-1.33,0.06
2.806,0.39,-1.34,-0.03
2.811,0.46,-1.31,-0.10
2.818,0.51,-1.28,-0.13
2.821,0.51,-1.23,-0.14
2.825,0.46,-1.15,-0.14
2.831,0.40,-1.06,-0.17
2.836,0.42,-1.01,-0.07
2.841,0.49,-1.03,0.42
2.845,0.43,-1.21,0.83
2.852,0.17,-1.42,0.86
2.856,-0.07,-1.43,0.68
2.861,-0.13,-1.21,0.49
2.872,-0.08,-0.92,0.35
2.873,-0.01,-0.66,0.21
2.880,0.07,-0.44,0.07
2.891,0.16,-0.29,-0.07
2.892,0.26,-0.22,-0.19
2.892,0.34,-0.22,-0.30
2.897,0.40,-0.25,-0.40
2.905,0.40,-0.26,-0.45
2.908,0.36,-0.19,-0.46
2.912,0.28,-0.07,-0.40
2.916,0.21,-0.00,-0.29
2.921,0.19,-0.03,-0.12
2.925,0.19,-0.13,0.05
