time,wx,wy,wz
3.247,-0.89,-0.94,1.35
3.252,-0.91,-0.93,1.42
3.257,-0.90,-0.89,1.48
3.262,-0.86,-0.84,1.52
3.267,-0.79,-0.77,1.56
3.273,-0.70,-0.71,1.59
3.277,-0.62,-0.66,1.61
3.282,-0.55,-0.62,1.62
3.287,-0.49,-0.60,1.61
3.292,-0.42,-0.61,1.57
3.298,-0.34,-0.69,1.48
3.303,-0.24,-0.83,1.35
3.309,-0.13,-0.93,1.17
3.313,-0.03,-0.96,0.96
3.318,0.05,-0.88,0.74
3.323,0.11,-0.74,0.51
3.329,0.14,-0.59,0.31
3.333,0.12,-0.47,0.16
3.338,0.06,-0.41,0.04
3.348,-0.02,-0.44,-0.05
3.349,-0.10,-0.62,-0.12
3.353,-0.17,-0.93,-0.17
3.369,-0.23,-1.30,-0.20
3.370,-0.29,-1.67,-0.20
3.370,-0.37,-1.96,-0.13
3.372,-0.44,-2.14,-0.01
3.380,-0.45,-2.11,0.14
3.382,-0.34,-1.74,0.32
3.388,-0.16,-1.17,0.50
3.393,0.00,-0.63,0.68
3.398,0.12,-0.29,0.80
3.402,0.22,-0.23,0.86
3.408,0.33,-0.33,0.93
3.412,0.45,-0.38,0.98
3.418,0.61,-0.30,1.02
3.422,0.80,-0.17,1.02
3.432,1.02,-0.08,1.00
3.433,1.22,-0.06,0.94
3.438,1.36,-0.08,0.81
3.453,1.47,-0.04,0.60
3.454,1.54,0.09,0.30
3.454,1.59,0.25,-0.04
3.463,1.62,0.40,-0.40
3.464,1.63,0.53,-0.74
3.468,1.64,0.65,-1.03
3.473,1.68,0.75,-1.28
3.478,1.77,0.88,-1.47
3.483,1.93,1.05,-1.59
3.488,2.15,1.26,-1.62
3.493,2.43,1.52,-1.55
3.498,2.75,1.79,-1.37
3.503,3.04,1.88,-1.07
3.508,3.25,1.74,-0.69
3.513,3.30,1.53,-0.32
3.519,3.13,1.38,0.00
3.524,2.83,1.31,0.28
3.528,2.45,1.32,0.52
3.534,2.07,1.38,0.76
3.539,1.76,1.57,1.00
3.548,1.58,1.84,1.26
3.549,1.60,2.09,1.52
3.555,1.88,2.31,1.73
3.572,2.33,2.41,1.85
3.573,2.87,2.18,1.95
3.573,3.40,1.85,2.00
3.574,3.73,1.52,2.01
3.581,3.84,1.07,2.03
3.583,3.75,0.51,2.04
3.588,3.54,-0.10,2.03
3.599,3.34,-0.69,2.04
3.600,3.19,-1.19,2.06
3.603,3.11,-1.63,2.10
