time,wx,wy,wz
2.405,-0.69,-1.76,0.86
2.410,-0.85,-1.72,0.91
2.420,-0.91,-1.73,0.92
2.421,-0.88,-1.72,0.91
2.424,-0.83,-1.70,0.87
2.431,-0.77,-1.65,0.83
2.434,-0.72,-1.59,0.78
2.439,-0.69,-1.51,0.71
2.445,-0.66,-1.45,0.62
2.450,-0.63,-1.44,0.48
2.454,-0.60,-1.40,0.38
2.459,-0.55,-1.28,0.34
2.464,-0.48,-1.11,0.32
2.470,-0.39,-0.91,0.29
2.474,-0.28,-0.71,0.25
2.479,-0.19,-0.52,0.22
2.485,-0.13,-0.38,0.19
2.490,-0.08,-0.28,0.17
2.496,-0.06,-0.23,0.15
2.499,-0.06,-0.23,0.14
2.505,-0.07,-0.24,0.13
2.510,-0.08,-0.25,0.12
2.518,-0.06,-0.20,0.10
2.519,-0.05,-0.16,0.09
2.524,-0.05,-0.17,0.08
2.535,-0.07,-0.21,0.07
2.536,-0.10,-0.26,0.06
2.540,-0.13,-0.31,0.06
2.553,-0.15,-0.35,0.06
2.553,-0.16,-0.38,0.07
2.554,-0.17,-0.42,0.08
2.560,-0.18,-0.46,0.08
2.572,-0.18,-0.50,0.08
2.573,-0.18,-0.56,0.08
2.574,-0.19,-0.62,0.06
2.591,-0.19,-0.64,0.05
2.591,-0.18,-0.60,0.06
2.592,-0.15,-0.56,0.05
2.594,-0.12,-0.53,0.02
2.600,-0.09,-0.51,0.01
2.605,-0.07,-0.46,0.01
2.610,-0.03,-0.34,0.02
2.619,0.01,-0.22,0.03
2.620,0.05,-0.15,0.04
2.627,0.05,-0.15,0.06
2.636,0.04,-0.17,0.08
2.636,0.02,-0.19,0.10
2.640,0.01,-0.22,0.10
2.645,-0.00,-0.24,0.10
2.650,-0.01,-0.25,0.09
2.654,-0.02,-0.25,0.09
2.660,-0.02,-0.25,0.08
2.665,-0.03,-0.24,0.07
2.670,-0.03,-0.24,0.07
2.674,-0.03,-0.24,0.06
2.679,-0.03,-0.26,0.06
2.685,-0.03,-0.28,0.06
2.690,-0.03,-0.29,0.06
2.695,-0.03,-0.30,0.07
2.700,-0.02,-0.30,0.08
2.705,-0.02,-0.31,0.08
2.710,-0.02,-0.31,0.09
2.719,-0.02,-0.31,0.09
2.720,-0.03,-0.31,0.08
2.726,-0.03,-0.31,0.08
2.738,-0.04,-0.33,0.07
2.739,-0.06,-0.34,0.06
2.740,-0.06,-0.34,0.05
2.744,-0.07,-0.34,0.03
2.750,-0.07,-0.33,0.02
2.754,-0.07,-0.33,-0.00
2.759,-0.08,-0.32,-0.02
2.764,-0.08,-0.32,-0.02
2.769,-0.08,-0.31,-0.03
2.774,-0.09,-0.31,-0.04
2.779,-0.09,-0.32,-0.04
2.785,-0.10,-0.33,-0.04
2.790,-0.11,-0.34,-0.03
2.795,-0.12,-0.34,-0.03
2.800,-0.13,-0.35,-0.03
2.805,-0.14,-0.36,-0.03
2.810,-0.13,-0.33,-0.04
2.819,-0.12,-0.30,-0.05
2.819,-0.13,-0.33,-0.07
2.825,-0.16,-0.43,-0.10
2.841,-0.23,-0.59,-0.13
2.841,-0.30,-0.76,-0.14
2.842,-0.36,-0.88,-0.15
2.845,-0.37,-0.88,-0.15
2.852,-0.33,-0.77,-0.15
2.855,-0.27,-0.63,-0.13
2.860,-0.22,-0.52,-0.13
2.865,-0.19,-0.47,-0.12
2.870,-0.18,-0.50,-0.13
2.874,-0.23,-0.62,-0.14
2.880,-0.28,-0.77,-0.16
2.884,-0.32,-0.86,-0.18
2.889,-0.33,-0.87,-0.22
2.895,-0.32,-0.85,-0.25
2.899,-0.30,-0.82,-0.29
2.905,-0.28,-0.77,-0.34
2.910,-0.24,-0.71,-0.36
2.920,-0.17,-0.54,-0.36
2.921,-0.06,-0.30,-0.38
2.925,0.05,-0.09,-0.40
2.938,0.13,0.05,-0.41
2.938,0.23,0.25,-0.38
2.940,0.36,0.51,-0.36
2.945,0.48,0.68,-0.34
2.956,0.54,0.72,-0.31
2.957,0.55,0.69,-0.27
2.960,0.53,0.66,-0.22
2.975,0.50,0.61,-0.19
2.976,0.47,0.57,-0.18
2.976,0.44,0.53,-0.18
2.994,0.40,0.51,-0.20
2.995,0.37,0.50,-0.21
2.995,0.33,0.48,-0.21
2.996,0.31,0.46,-0.21
3.000,0.29,0.47,-0.21
3.005,0.27,0.49,-0.22
3.010,0.26,0.50,-0.22
3.022,0.25,0.50,-0.21
3.022,0.24,0.52,-0.21
3.025,0.25,0.57,-0.22
3.051,0.28,0.62,-0.24
3.052,0.33,0.66,-0.28
3.052,0.38,0.69,-0.31
3.052,0.43,0.74,-0.34
3.053,0.48,0.82,-0.38
3.055,0.53,0.91,-0.41
3.061,0.56,0.96,-0.43
3.065,0.58,0.97,-0.46
3.070,0.58,0.93,-0.48
3.074,0.53,0.83,-0.50
3.080,0.43,0.69,-0.51
3.085,0.33,0.55,-0.52
3.090,0.23,0.43,-0.53
3.095,0.17,0.40,-0.54
3.100,0.14,0.40,-0.57
3.105,0.15,0.44,-0.60
3.110,0.18,0.53,-0.64
3.121,0.21,0.60,-0.64
3.122,0.23,0.61,-0.61
3.125,0.26,0.64,-0.61
3.138,0.30,0.65,-0.60
3.138,0.31,0.59,-0.52
3.141,0.29,0.51,-0.44
3.145,0.27,0.44,-0.41
3.151,0.27,0.44,-0.39
3.156,0.28,0.48,-0.35
3.161,0.29,0.47,-0.31
3.166,0.28,0.38,-0.27
3.170,0.24,0.26,-0.21
3.175,0.18,0.09,-0.17
3.180,0.10,-0.05,-0.13
3.185,0.04,-0.16,-0.11
3.190,-0.01,-0.24,-0.09
3.195,-0.06,-0.30,-0.06
3.200,-0.10,-0.35,-0.03
3.205,-0.14,-0.42,-0.01
3.210,-0.19,-0.53,0.02
3.217,-0.22,-0.58,0.08
3.220,-0.24,-0.61,0.16
3.225,-0.25,-0.62,0.33
3.230,-0.26,-0.68,0.45
3.235,-0.29,-0.80,0.47
3.240,-0.32,-0.94,0.45
3.245,-0.38,-1.12,0.52
3.250,-0.45,-1.26,0.61
3.254,-0.50,-1.33,0.64
3.259,-0.53,-1.36,0.65
3.264,-0.57,-1.38,0.65
3.270,-0.59,-1.36,0.66
3.274,-0.55,-1.20,0.63
3.280,-0.47,-1.04,0.60
3.285,-0.40,-0.88,0.58
3.291,-0.32,-0.78,0.56
3.296,-0.28,-0.72,0.55
3.300,-0.27,-0.71,0.57
3.305,-0.24,-0.64,0.59
3.310,-0.20,-0.54,0.61
3.320,-0.16,-0.51,0.63
3.320,-0.14,-0.42,0.64
3.325,-0.10,-0.36,0.65
3.341,-0.11,-0.38,0.65
3.342,-0.11,-0.35,0.64
3.342,-0.12,-0.44,0.63
3.345,-0.16,-0.55,0.60
3.359,-0.17,-0.60,0.58
3.360,-0.18,-0.62,0.56
3.360,-0.19,-0.65,0.53
3.378,-0.21,-0.67,0.49
3.379,-0.21,-0.65,0.46
3.379,-0.20,-0.61,0.42
3.379,-0.19,-0.57,0.38
3.386,-0.16,-0.52,0.35
3.390,-0.14,-0.48,0.33
3.396,-0.12,-0.46,0.31
3.400,-0.11,-0.46,0.30
3.405,-0.10,-0.49,0.30
3.410,-0.11,-0.55,0.30
3.422,-0.13,-0.61,0.32
3.423,-0.15,-0.67,0.33
3.425,-0.16,-0.73,0.34
3.431,-0.17,-0.76,0.34
3.435,-0.16,-0.75,0.33
3.442,-0.13,-0.70,0.33
3.445,-0.09,-0.60,0.32
3.451,-0.02,-0.46,0.30
3.455,0.05,-0.29,0.29
3.460,0.14,-0.12,0.27
3.465,0.24,0.04,0.25
3.470,0.33,0.19,0.22
3.475,0.40,0.31,0.20
3.481,0.45,0.36,0.19
3.485,0.46,0.34,0.17
