time,wx,wy,wz
3.001,-0.36,-1.23,-0.20
3.006,-0.34,-1.00,-0.27
3.010,-0.27,-0.92,-0.36
3.016,-0.19,-0.96,-0.42
3.021,-0.10,-0.99,-0.46
3.026,-0.02,-0.96,-0.47
3.031,0.03,-0.87,-0.46
3.039,0.04,-0.74,-0.45
3.041,0.02,-0.61,-0.42
3.046,-0.03,-0.48,-0.40
3.050,-0.09,-0.34,-0.38
3.056,-0.14,-0.18,-0.33
3.061,-0.18,-0.01,-0.28
3.066,-0.20,0.16,-0.22
3.071,-0.23,0.32,-0.15
3.076,-0.26,0.46,-0.08
3.081,-0.29,0.57,0.01
3.086,-0.34,0.65,0.08
3.091,-0.40,0.66,0.17
3.096,-0.48,0.62,0.27
3.101,-0.55,0.56,0.37
3.106,-0.65,0.52,0.47
3.111,-0.78,0.45,0.56
3.116,-0.90,0.39,0.67
3.120,-1.02,0.37,0.79
3.126,-1.13,0.41,0.92
3.131,-1.22,0.48,1.05
3.150,-1.29,0.57,1.19
3.151,-1.33,0.65,1.32
3.151,-1.36,0.73,1.44
3.151,-1.37,0.82,1.58
3.156,-1.36,0.89,1.72
3.161,-1.35,0.97,1.85
3.167,-1.32,1.07,1.99
3.171,-1.29,1.16,2.12
3.176,-1.27,1.28,2.24
3.181,-1.25,1.42,2.34
3.187,-1.24,1.59,2.40
3.191,-1.20,1.76,2.43
3.196,-1.15,2.04,2.41
3.201,-1.11,2.43,2.29
3.206,-1.08,2.84,2.07
3.211,-1.06,3.20,1.80
3.216,-1.06,3.49,1.53
3.221,-1.07,3.70,1.26
3.226,-1.12,3.88,1.00
3.230,-1.21,4.00,0.77
3.235,-1.33,4.06,0.58
3.240,-1.49,4.05,0.41
3.246,-1.61,3.97,0.25
3.254,-1.73,3.85,0.11
3.255,-1.83,3.68,0.00
3.261,-1.88,3.44,-0.07
3.267,-1.86,3.07,-0.11
3.272,-1.72,2.49,-0.11
3.275,-1.44,1.68,-0.10
3.281,-1.03,0.70,-0.16
3.285,-0.56,-0.26,-0.29
3.290,-0.14,-1.01,-0.44
3.296,0.19,-1.46,-0.53
3.301,0.42,-1.67,-0.54
3.305,0.55,-1.73,-0.50
3.311,0.55,-1.84,-0.51
3.316,0.49,-2.05,-0.55
3.321,0.45,-2.25,-0.58
3.326,0.50,-2.36,-0.57
3.330,0.65,-2.41,-0.53
3.336,0.86,-2.45,-0.49
3.345,1.10,-2.53,-0.44
3.345,1.35,-2.53,-0.38
3.351,1.53,-2.27,-0.33
3.356,1.57,-1.77,-0.30
3.360,1.40,-1.11,-0.33
3.368,1.05,-0.45,-0.41
3.374,0.52,0.14,-0.51
3.375,-0.08,0.62,-0.59
3.380,-0.49,1.05,-0.58
3.386,-0.56,1.59,-0.46
3.390,-0.39,2.16,-0.23
3.395,-0.05,2.54,0.10
3.401,0.34,2.71,0.47
3.406,0.62,2.79,0.77
3.410,0.74,2.76,0.93
3.415,0.69,2.60,0.90
3.421,0.37,2.33,0.67
3.426,-0.15,1.86,0.38
3.431,-0.69,1.25,0.15
3.437,-1.04,0.67,0.05
3.442,-1.14,0.25,0.05
3.445,-1.07,-0.12,0.11
3.451,-0.85,-0.53,0.19
3.455,-0.51,-0.91,0.26
3.460,-0.09,-1.05,0.26
3.465,0.35,-0.83,0.18
3.471,0.77,-0.24,0.02
3.476,1.05,0.52,-0.18
3.481,1.12,1.25,-0.35
3.486,1.04,1.78,-0.43
3.491,0.84,1.94,-0.40
3.495,0.55,1.83,-0.29
3.501,0.19,1.58,-0.14
3.506,-0.19,1.26,0.01
3.510,-0.52,0.93,0.12
3.515,-0.82,0.63,0.17
3.520,-1.04,0.35,0.17
3.525,-1.19,0.13,0.18
3.530,-1.29,-0.02,0.23
3.536,-1.34,-0.11,0.31
3.541,-1.34,-0.15,0.40
3.546,-1.31,-0.14,0.48
3.551,-1.27,-0.10,0.54
3.555,-1.22,-0.07,0.57
3.560,-1.17,-0.06,0.59
3.565,-1.12,-0.06,0.58
3.571,-1.06,-0.04,0.56
3.575,-0.99,-0.01,0.53
3.580,-0.93,0.01,0.49
3.586,-0.85,0.01,0.45
3.591,-0.79,-0.01,0.41
3.595,-0.75,-0.03,0.37
3.601,-0.72,-0.08,0.33
3.606,-0.72,-0.14,0.29
3.611,-0.72,-0.22,0.24
3.615,-0.74,-0.29,0.20
3.621,-0.76,-0.37,0.15
3.626,-0.78,-0.43,0.11
3.630,-0.79,-0.47,0.06
3.637,-0.79,-0.50,0.02
3.645,-0.76,-0.54,-0.00
3.646,-0.72,-0.59,-0.01
3.652,-0.65,-0.65,0.00
3.655,-0.56,-0.74,0.03
3.661,-0.44,-0.86,0.07
3.666,-0.31,-0.95,0.12
3.672,-0.18,-0.99,0.17
3.675,-0.05,-0.99,0.22
3.680,0.07,-0.94,0.26
3.686,0.19,-0.84,0.30
3.691,0.29,-0.71,0.34
3.696,0.37,-0.56,0.37
3.701,0.44,-0.42,0.40
3.706,0.49,-0.33,0.43
3.711,0.54,-0.28,0.46
3.716,0.58,-0.28,0.49
3.721,0.61,-0.33,0.54
3.726,0.63,-0.43,0.58
3.731,0.64,-0.58,0.64
3.736,0.66,-0.76,0.70
3.742,0.68,-0.94,0.74
3.746,0.71,-1.09,0.77
3.751,0.74,-1.18,0.76
3.756,0.76,-1.22,0.73
3.760,0.77,-1.22,0.67
3.766,0.77,-1.19,0.60
3.771,0.74,-1.18,0.52
3.776,0.69,-1.20,0.44
3.781,0.63,-1.26,0.37
3.786,0.57,-1.34,0.30
3.791,0.53,-1.43,0.25
3.795,0.51,-1.49,0.20
3.801,0.50,-1.53,0.15
3.806,0.51,-1.54,0.10
3.811,0.54,-1.51,0.05
3.816,0.58,-1.49,-0.01
3.823,0.64,-1.49,-0.07
3.826,0.74,-1.51,-0.14
3.831,0.86,-1.51,-0.20
3.838,0.99,-1.49,-0.25
3.843,1.14,-1.48,-0.31
3.846,1.30,-1.55,-0.38
