time,wx,wy,wz
2.052,-0.20,-2.01,-0.23
2.057,-0.24,-1.76,-0.74
2.069,-0.26,-1.46,-1.16
2.070,-0.25,-1.15,-1.43
2.073,-0.19,-0.92,-1.44
2.078,-0.04,-0.81,-1.19
2.090,0.16,-0.74,-0.85
2.091,0.33,-0.65,-0.50
2.093,0.42,-0.54,-0.20
2.103,0.41,-0.42,-0.02
2.103,0.33,-0.31,0.06
2.107,0.22,-0.22,0.08
2.114,0.13,-0.18,0.08
2.118,0.09,-0.20,0.08
2.123,0.09,-0.29,0.08
2.128,0.13,-0.54,0.08
2.132,0.17,-0.79,0.06
2.137,0.17,-0.91,0.04
2.143,0.13,-0.87,0.03
2.148,0.06,-0.74,0.01
2.153,0.01,-0.56,0.00
2.158,-0.03,-0.37,-0.00
2.171,-0.05,-0.21,-0.00
2.171,-0.05,-0.09,0.00
2.173,-0.04,-0.03,0.02
2.178,-0.03,-0.03,0.03
2.193,-0.01,-0.06,0.02
2.194,-0.01,-0.11,0.02
2.194,-0.01,-0.16,0.02
2.205,-0.01,-0.21,0.02
2.205,-0.02,-0.25,0.01
2.207,-0.03,-0.28,0.00
2.212,-0.04,-0.30,0.00
2.217,-0.03,-0.33,-0.01
2.223,-0.03,-0.36,-0.02
2.227,-0.03,-0.38,-0.03
2.233,-0.05,-0.40,-0.05
2.238,-0.06,-0.41,-0.07
2.243,-0.08,-0.39,-0.09
2.248,-0.09,-0.36,-0.11
2.253,-0.09,-0.34,-0.10
2.258,-0.07,-0.34,-0.09
2.264,-0.04,-0.35,-0.06
2.268,-0.01,-0.38,-0.02
2.273,0.03,-0.40,0.01
2.278,0.06,-0.41,0.04
2.287,0.08,-0.37,0.06
2.288,0.09,-0.31,0.09
2.293,0.09,-0.27,0.13
2.310,0.08,-0.23,0.16
2.311,0.07,-0.18,0.18
2.311,0.05,-0.12,0.19
2.313,0.04,-0.05,0.19
2.324,0.02,0.01,0.19
2.325,0.02,0.04,0.19
2.328,0.03,0.04,0.20
2.335,0.05,0.01,0.22
2.338,0.07,-0.04,0.24
2.343,0.09,-0.07,0.26
2.353,0.09,-0.10,0.29
2.353,0.07,-0.12,0.31
2.358,0.04,-0.17,0.33
2.369,0.02,-0.23,0.36
2.370,0.02,-0.29,0.35
2.373,0.05,-0.30,0.32
2.378,0.08,-0.26,0.28
2.384,0.10,-0.17,0.24
2.387,0.11,-0.08,0.22
2.392,0.11,-0.02,0.22
2.397,0.09,0.02,0.23
2.403,0.05,0.02,0.25
2.407,0.01,-0.01,0.29
2.413,-0.02,-0.05,0.31
2.418,-0.02,-0.09,0.28
2.423,-0.02,-0.11,0.23
2.427,-0.02,-0.11,0.19
